"datetime","Bearing1"
2/12/2004 10:52,0.060236437
2/12/2004 11:02,0.061455442
2/12/2004 11:12,0.06136076
2/12/2004 11:22,0.061664827
2/12/2004 11:32,0.061943894
2/12/2004 11:42,0.061230529
2/12/2004 11:52,0.06227975
2/12/2004 12:02,0.059890278
2/12/2004 12:12,0.062371258
2/12/2004 12:22,0.060837053
2/12/2004 12:32,0.061090141
2/12/2004 12:42,0.062598662
2/12/2004 12:52,0.06234069
2/12/2004 13:02,0.061629767
2/12/2004 13:12,0.061884955
2/12/2004 13:22,0.061246301
2/12/2004 13:32,0.061476293
2/12/2004 13:42,0.061843254
2/12/2004 13:52,0.062213096
2/12/2004 14:02,0.062625763
2/12/2004 14:12,0.062514039
2/12/2004 14:22,0.062606914
2/12/2004 14:32,0.062448557
2/12/2004 14:42,0.061328873
2/12/2004 14:52,0.061452024
2/12/2004 15:02,0.061278676
2/12/2004 15:12,0.061906343
2/12/2004 15:22,0.06188979
2/12/2004 15:32,0.061728356
2/12/2004 15:42,0.063210948
2/12/2004 15:52,0.06069144
2/12/2004 16:02,0.062270619
2/12/2004 16:12,0.061526784
2/12/2004 16:22,0.061508619
2/12/2004 16:32,0.060630548
2/12/2004 16:42,0.062684164
2/12/2004 16:52,0.061219151
2/12/2004 17:02,0.061413106
2/12/2004 17:12,0.061580302
2/12/2004 17:22,0.061916549
2/12/2004 17:32,0.06114947
2/12/2004 17:42,0.061460569
2/12/2004 17:52,0.061383368
2/12/2004 18:02,0.060116168
2/12/2004 18:12,0.062262317
2/12/2004 18:22,0.060793691
2/12/2004 18:32,0.06178412
2/12/2004 18:42,0.06062464
2/12/2004 18:52,0.061512672
2/12/2004 19:02,0.061635871
2/12/2004 19:12,0.062393086
2/12/2004 19:22,0.060577225
2/12/2004 19:32,0.060348894
2/12/2004 19:42,0.061461839
2/12/2004 19:52,0.060919674
2/12/2004 20:02,0.06096616
2/12/2004 20:12,0.060197031
2/12/2004 20:22,0.061612872
2/12/2004 20:32,0.062087407
2/12/2004 20:42,0.060778895
2/12/2004 20:52,0.062264222
2/12/2004 21:02,0.060654329
2/12/2004 21:12,0.060836564
2/12/2004 21:22,0.060678793
2/12/2004 21:32,0.060815079
2/12/2004 21:42,0.060510962
2/12/2004 21:52,0.060515699
2/12/2004 22:02,0.060748962
2/12/2004 22:12,0.059402656
2/12/2004 22:22,0.060527028
2/12/2004 22:32,0.06077079
2/12/2004 22:42,0.061741833
2/12/2004 22:52,0.061893549
2/12/2004 23:02,0.061243371
2/12/2004 23:12,0.060408956
2/12/2004 23:22,0.061595342
2/12/2004 23:32,0.060023878
2/12/2004 23:42,0.060836857
